iter	Passed	Remaining
0	26	15986
1	46	13939
2	63	12716
3	79	11914
4	96	11468
5	114	11300
6	131	11162
7	146	10852
8	160	10526
9	175	10381
10	189	10135
11	202	9899
12	215	9710
13	228	9557
14	241	9403
15	253	9250
16	266	9124
17	278	9016
18	291	8912
19	305	8856
20	322	8887
21	338	8884
22	356	8936
23	369	8876
24	383	8828
25	397	8777
26	410	8721
27	426	8716
28	441	8693
29	458	8713
30	474	8713
31	490	8702
32	507	8715
33	523	8719
34	540	8718
35	557	8730
36	573	8725
37	589	8719
38	607	8733
39	622	8714
40	639	8715
41	653	8679
42	668	8654
43	684	8653
44	703	8672
45	720	8681
46	739	8698
47	757	8710
48	776	8729
49	794	8737
50	814	8763
51	829	8744
52	845	8730
53	862	8720
54	878	8703
55	894	8689
56	910	8674
57	927	8668
58	943	8652
59	960	8640
60	975	8620
61	990	8597
62	1006	8577
63	1022	8563
64	1038	8545
65	1055	8540
66	1072	8530
67	1087	8511
68	1105	8507
69	1127	8534
70	1144	8526
71	1159	8499
72	1174	8480
73	1193	8482
74	1216	8515
75	1239	8542
76	1254	8518
77	1267	8483
78	1281	8451
79	1299	8449
80	1315	8431
81	1329	8398
82	1344	8373
83	1359	8348
84	1374	8325
85	1389	8303
86	1407	8296
87	1422	8278
88	1437	8251
89	1451	8222
90	1464	8192
91	1479	8169
92	1493	8143
93	1508	8118
94	1522	8095
95	1541	8091
96	1557	8078
97	1574	8063
98	1591	8053
99	1608	8044
100	1626	8033
101	1646	8037
102	1667	8044
103	1684	8033
104	1703	8031
105	1720	8019
106	1737	8007
107	1755	7998
108	1773	7987
109	1790	7977
110	1808	7967
111	1825	7951
112	1845	7951
113	1859	7926
114	1876	7914
115	1895	7907
116	1913	7897
117	1930	7885
118	1950	7885
119	1968	7872
120	1985	7861
121	2005	7857
122	2021	7841
123	2039	7828
124	2056	7814
125	2074	7802
126	2091	7787
127	2110	7782
128	2130	7778
129	2147	7764
130	2166	7756
131	2183	7742
132	2200	7727
133	2218	7714
134	2236	7703
135	2253	7688
136	2271	7675
137	2290	7667
138	2307	7653
139	2322	7629
140	2338	7613
141	2355	7596
142	2372	7583
143	2390	7570
144	2408	7556
145	2425	7543
146	2444	7531
147	2461	7517
148	2478	7503
149	2497	7492
150	2515	7479
151	2533	7466
152	2551	7453
153	2569	7441
154	2585	7423
155	2601	7405
156	2617	7386
157	2633	7366
158	2647	7343
159	2662	7320
160	2676	7297
161	2690	7273
162	2705	7252
163	2719	7230
164	2736	7215
165	2754	7201
166	2772	7189
167	2799	7199
168	2827	7211
169	2847	7201
170	2864	7186
171	2885	7179
172	2908	7179
173	2932	7180
174	2950	7166
175	2968	7152
176	2992	7150
177	3010	7136
178	3029	7125
179	3047	7110
180	3088	7150
181	3113	7150
182	3131	7136
183	3151	7124
184	3168	7107
185	3189	7099
186	3206	7081
187	3225	7069
188	3243	7052
189	3260	7036
190	3278	7019
191	3295	7003
192	3313	6987
193	3333	6977
194	3351	6961
195	3369	6945
196	3386	6928
197	3404	6911
198	3426	6904
199	3443	6887
200	3461	6870
201	3478	6854
202	3496	6838
203	3514	6822
204	3532	6806
205	3556	6802
206	3576	6790
207	3594	6773
208	3614	6761
209	3632	6745
210	3650	6729
211	3668	6713
212	3685	6696
213	3702	6679
214	3725	6672
215	3745	6658
216	3763	6641
217	3780	6624
218	3798	6607
219	3815	6590
220	3833	6573
221	3850	6556
222	3868	6539
223	3885	6522
224	3903	6505
225	3920	6488
226	3938	6472
227	3956	6455
228	3974	6438
229	3989	6418
230	4004	6397
231	4019	6375
232	4038	6360
233	4053	6339
234	4067	6317
235	4081	6295
236	4096	6274
237	4111	6254
238	4126	6233
239	4140	6211
240	4155	6190
241	4170	6169
242	4185	6148
243	4199	6127
244	4213	6105
245	4228	6085
246	4243	6063
247	4257	6042
248	4271	6021
249	4286	6001
250	4301	5980
251	4316	5960
252	4330	5939
253	4344	5918
254	4359	5898
255	4373	5877
256	4388	5857
257	4402	5836
258	4416	5815
259	4431	5794
260	4445	5773
261	4458	5752
262	4473	5732
263	4488	5712
264	4507	5697
265	4522	5678
266	4536	5657
267	4551	5638
268	4565	5617
269	4580	5598
270	4595	5579
271	4610	5560
272	4626	5541
273	4640	5521
274	4655	5502
275	4670	5482
276	4684	5462
277	4700	5443
278	4714	5424
279	4730	5405
280	4745	5386
281	4760	5367
282	4775	5348
283	4789	5329
284	4807	5313
285	4823	5295
286	4838	5276
287	4853	5257
288	4868	5238
289	4882	5219
290	4897	5200
291	4912	5181
292	4927	5162
293	4941	5143
294	4956	5124
295	4971	5105
296	4986	5087
297	5000	5067
298	5015	5048
299	5030	5030
300	5045	5011
301	5059	4992
302	5074	4974
303	5089	4955
304	5105	4938
305	5121	4920
306	5136	4901
307	5150	4883
308	5166	4865
309	5181	4847
310	5196	4828
311	5211	4810
312	5226	4792
313	5241	4773
314	5255	4755
315	5270	4736
316	5285	4718
317	5300	4700
318	5315	4682
319	5330	4663
320	5345	4645
321	5359	4627
322	5374	4609
323	5389	4591
324	5404	4572
325	5419	4554
326	5434	4536
327	5449	4518
328	5464	4501
329	5479	4483
330	5494	4465
331	5508	4446
332	5523	4428
333	5538	4410
334	5553	4392
335	5567	4374
336	5582	4357
337	5599	4340
338	5613	4322
339	5628	4304
340	5643	4286
341	5658	4268
342	5674	4251
343	5688	4233
344	5703	4215
345	5718	4197
346	5733	4180
347	5748	4163
348	5764	4145
349	5779	4128
350	5794	4110
351	5809	4093
352	5825	4075
353	5840	4058
354	5855	4040
355	5870	4023
356	5886	4006
357	5901	3989
358	5916	3971
359	5932	3954
360	5947	3937
361	5962	3920
362	5977	3902
363	5993	3885
364	6008	3868
365	6023	3851
366	6039	3834
367	6054	3816
368	6069	3799
369	6084	3782
370	6100	3765
371	6115	3748
372	6130	3730
373	6145	3713
374	6160	3696
375	6175	3679
376	6190	3661
377	6205	3644
378	6220	3627
379	6235	3610
380	6250	3592
381	6265	3575
382	6281	3558
383	6296	3541
384	6311	3524
385	6326	3507
386	6341	3490
387	6356	3473
388	6371	3456
389	6387	3439
390	6401	3422
391	6417	3405
392	6432	3388
393	6447	3370
394	6462	3354
395	6477	3337
396	6492	3319
397	6507	3303
398	6522	3285
399	6537	3268
400	6553	3252
401	6568	3235
402	6585	3219
403	6600	3202
404	6615	3185
405	6631	3168
406	6645	3151
407	6660	3134
408	6675	3117
409	6690	3100
410	6705	3083
411	6720	3066
412	6735	3049
413	6751	3033
414	6767	3016
415	6782	2999
416	6797	2983
417	6812	2966
418	6827	2949
419	6842	2932
420	6858	2916
421	6873	2899
422	6887	2882
423	6903	2865
424	6918	2848
425	6933	2832
426	6949	2815
427	6965	2799
428	6980	2782
429	6995	2765
430	7010	2749
431	7026	2732
432	7041	2715
433	7056	2698
434	7071	2682
435	7087	2666
436	7103	2649
437	7118	2632
438	7134	2616
439	7149	2599
440	7164	2583
441	7179	2566
442	7194	2549
443	7209	2533
444	7224	2516
445	7240	2499
446	7255	2483
447	7270	2466
448	7285	2450
449	7300	2433
450	7315	2416
451	7330	2400
452	7346	2383
453	7361	2367
454	7377	2350
455	7391	2334
456	7408	2318
457	7423	2301
458	7439	2285
459	7454	2268
460	7470	2252
461	7486	2236
462	7502	2219
463	7517	2203
464	7532	2186
465	7547	2170
466	7562	2153
467	7578	2137
468	7594	2121
469	7609	2104
470	7624	2088
471	7639	2071
472	7654	2055
473	7669	2038
474	7685	2022
475	7700	2006
476	7715	1989
477	7730	1973
478	7746	1956
479	7761	1940
480	7776	1923
481	7791	1907
482	7807	1891
483	7822	1874
484	7837	1858
485	7852	1841
486	7867	1825
487	7882	1809
488	7897	1792
489	7912	1776
490	7927	1759
491	7942	1743
492	7958	1727
493	7973	1710
494	7988	1694
495	8003	1678
496	8018	1661
497	8034	1645
498	8049	1629
499	8064	1612
500	8080	1596
501	8096	1580
502	8112	1564
503	8127	1548
504	8142	1531
505	8158	1515
506	8173	1499
507	8188	1482
508	8203	1466
509	8218	1450
510	8233	1434
511	8248	1417
512	8264	1401
513	8279	1385
514	8294	1369
515	8309	1352
516	8324	1336
517	8340	1320
518	8355	1304
519	8371	1287
520	8386	1271
521	8401	1255
522	8416	1239
523	8431	1222
524	8447	1206
525	8462	1190
526	8478	1174
527	8493	1158
528	8508	1141
529	8523	1125
530	8537	1109
531	8553	1093
532	8569	1077
533	8585	1061
534	8601	1045
535	8617	1028
536	8633	1012
537	8648	996
538	8664	980
539	8679	964
540	8695	948
541	8711	932
542	8727	916
543	8742	899
544	8757	883
545	8774	867
546	8790	851
547	8805	835
548	8821	819
549	8836	803
550	8852	787
551	8868	771
552	8883	755
553	8900	738
554	8915	722
555	8931	706
556	8947	690
557	8963	674
558	8979	658
559	8995	642
560	9010	626
561	9026	610
562	9041	594
563	9057	578
564	9074	562
565	9091	546
566	9106	530
567	9122	513
568	9137	497
569	9152	481
570	9168	465
571	9183	449
572	9199	433
573	9215	417
574	9230	401
575	9246	385
576	9262	369
577	9278	353
578	9294	337
579	9309	321
580	9325	304
581	9341	288
582	9356	272
583	9372	256
584	9387	240
585	9403	224
586	9418	208
587	9434	192
588	9450	176
589	9466	160
590	9482	144
591	9497	128
592	9513	112
593	9528	96
594	9543	80
595	9560	64
596	9576	48
597	9592	32
598	9608	16
599	9623	0
